county,x,y
Alba,-110, 5
Argeș,-18, -112
Arad,-230,20
București,75, -150
Bacău,120, 30
Bihor,-230,40
Bistrița Năsăud,-205, 85
Brăila,190,-107
Botoșani,110, 180
Brașov,7,-35
Buzău,120, -88
Cluj,-100,72
Călărași,140,-188
Caraș-Severin,-220,-98
Constanța,230,-188
Covasna,70,-18
Dâmbovița,30,-118
Dolj,-100,-198
Gorj,-130,-118
Galați,190,-38
Giurgiu,70,-208
Hunedoara,-150, -38
Harghita,40,42
Ilfov,80,-158
Ialomița,150,-148
Iași,160, 112
Mehedinți,-150,-158
Maramureș,-70,162
Mureș,-30, 42
Neamț,90,82
Olt,-50,-188
Prahova,70,-108
Sibiu,-60,-28
Sălaj,-140,112
Satu-Mare,-150,162
Suceava,50,142
Tulcea,270,-108
Timiș,-260,-28
Teleorman,10,-208
Vâlcea,-60,-108
Vrancea,130,-38
Vaslui,190,32
 
